institution_slug,meta_title,meta_description,faq_json,highlights_json,important_dates_json
iit-delhi,"IIT Delhi: Admission, Courses, Fees, Placements & Cutoff","Get detailed information on Indian Institute of Technology Delhi including admissions, courses, placement statistics, rankings, and campus life.","[{""q"": ""Is IIT Delhi public or private?"", ""a"": ""IIT Delhi is a public government-funded university.""}]","[{""title"": ""Established Year"", ""value"": ""1961""}, {""title"": ""Campus Size"", ""value"": ""320 Acres""}]","[{""event"": ""JEE Advanced Exam"", ""date"": ""May 24, 2026""}]"
iit-bombay,"IIT Bombay (IITB) - Courses, Fees, Admission & Placements","Explore IIT Bombay courses, fee structures, reviews, rankings, placement records, and campus facilities on College Corridor.","[{""q"": ""Where is IIT Bombay located?"", ""a"": ""IIT Bombay is located in Powai, Mumbai, Maharashtra.""}]","[{""title"": ""Average Package"", ""value"": ""26.7 LPA""}]","[{""event"": ""JEE Advanced Exam"", ""date"": ""May 24, 2026""}]"
iit-madras,"IIT Madras: Rankings, Courses, Fees, Admission & Placements","Find out about Indian Institute of Technology Madras. Discover placements, eligibility criteria, campus resources, and ranking scores.","[{""q"": ""What is the NIRF rank of IIT Madras?"", ""a"": ""IIT Madras is ranked #1 in the Engineering category by NIRF 2025.""}]","[{""title"": ""NIRF Rank"", ""value"": ""#1""}]","[{""event"": ""JoSAA Registrations"", ""date"": ""June 15, 2026""}]"
iim-ahmedabad,"IIM Ahmedabad (IIMA) - Admission, Courses, Fees, Placement","Read about IIM Ahmedabad, the premier business school in India. Learn about CAT cutoffs, admission criteria, fees, and top recruiters.","[{""q"": ""What is the average package at IIM Ahmedabad?"", ""a"": ""The average package at IIM Ahmedabad for 2025 was 34.2 LPA.""}]","[{""title"": ""Highest Package"", ""value"": ""1.0 Crore""}]","[{""event"": ""CAT Exam 2025"", ""date"": ""November 23, 2025""}]"
aiims-delhi,"AIIMS Delhi - Admission, NEET Cutoff, Courses, Fees & Placements","Get AIIMS Delhi details: MBBS admission process, NEET UG cutoff rankings, fee structure, academic rating, and student reviews.","[{""q"": ""Is AIIMS Delhi MBBS fee expensive?"", ""a"": ""No, AIIMS Delhi MBBS fee is extremely subsidized, around Rs. 13,500 total.""}]","[{""title"": ""Total MBBS Seats"", ""value"": ""125""}]","[{""event"": ""NEET UG 2026"", ""date"": ""May 3, 2026""}]"
delhi-university,"University of Delhi (DU) - Colleges, Courses, Fees & Admission","Complete guide to Delhi University. Learn about CUET UG admission process, cutoff percentiles, list of colleges, and placement options.","[{""q"": ""How to get admission in DU?"", ""a"": ""Admissions to undergraduate courses at DU are through the CUET UG exam followed by CSAS counseling.""}]","[{""title"": ""Establishment"", ""value"": ""1922""}]","[{""event"": ""CUET UG Exam"", ""date"": ""May 15-31, 2026""}]"
bhu,"Banaras Hindu University (BHU) Varanasi - Admission & Fees","Discover Banaras Hindu University details including courses offered, CUET cutoffs, ranking, scholarships, and hostel accommodation.","[{""q"": ""Is hostel compulsory at BHU?"", ""a"": ""No, hostel is not compulsory, but highly recommended due to the vast campus.""}]","[{""title"": ""Established"", ""value"": ""1916""}]","[{""event"": ""BHU Registration"", ""date"": ""June 2026""}]"
bits-pilani,"BITS Pilani - Admission, BITSAT Cutoff, Courses, Fees & Placements","Information on BITS Pilani campuses, engineering programs, BITSAT cutoffs, fee waivers, scholarships, and placement statistics.","[{""q"": ""What is the BITSAT cutoff for CS?"", ""a"": ""The BITSAT cutoff score for Computer Science at Pilani campus is generally around 320+.""}]","[{""title"": ""Ownership"", ""value"": ""Private Deemed""}]","[{""event"": ""BITSAT 2026 Session 1"", ""date"": ""May 20-24, 2026""}]"
manipal-academy,"MAHE Manipal: Admission, MET, Courses, Fees & Placement","All about Manipal Academy of Higher Education (MAHE). Learn about MET registration, exam dates, engineering and medical courses, and fees.","[{""q"": ""What is the entrance exam for Manipal?"", ""a"": ""Admissions to B.Tech are done via the Manipal Entrance Test (MET).""}]","[{""title"": ""Rankings"", ""value"": ""NIRF #6 (Universities)""}]","[{""event"": ""MET 2026 Test Slot Booking"", ""date"": ""April 2026""}]"
jnu,"Jawaharlal Nehru University (JNU) Delhi - Admission & Courses","Details about JNU Delhi. Learn about postgraduate programs, CUET PG cutoffs, research opportunities, fee structure, and reservation policies.","[{""q"": ""Are JNU courses affordable?"", ""a"": ""Yes, JNU is highly subsidized and is one of the most affordable public universities in India.""}]","[{""title"": ""Central Rank"", ""value"": ""NIRF #2 (Universities)""}]","[{""event"": ""CUET PG Exam"", ""date"": ""March 11-28, 2026""}]"
